shape,color,alpha,date,classification
POINT (-95.5425 32.7943),black,1.0,1996-12-22,Class A
POINT (-95.61056000000001 32.69028),black,1.0,2004-03-25,Class A
POINT (-95.46671000000001 32.85232),black,1.0,2006-02-01,Class A
POINT (-97.83750000000001 33.29083),black,1.0,2003-10-10,Class A
POINT (-99.295 34.31),black,1.0,2016-07-23,Class B
POINT (-97.67403 30.51559),black,1.0,2017-06-23,Class A
POINT (-96.25 29.38333),black,1.0,2002-04-29,Class A
POINT (-95.75645 30.812),black,1.0,1961-11-11,Class B
POINT (-97.06667 28.725),black,1.0,1997-08-22,Class B
POINT (-95.80556 32.57306),black,1.0,2004-08-30,Class A
POINT (-94.86958 32.58125),black,1.0,1976-10-01,Class A
POINT (-94.41528 30.775),black,1.0,2003-12-12,Class A
POINT (-94.96611 31.22333),black,1.0,1995-11-15,Class C
POINT (-98.08611000000001 30.38667),black,1.0,2004-04-24,Class A
POINT (-100.4161 31.45417),black,1.0,2004-11-19,Class A
POINT (-99.18778 33.16972),black,1.0,1988-10-15,Class A
POINT (-97.44499999999999 32.84),black,1.0,1976-12-23,Class B
POINT (-100.545 30.566),black,1.0,2006-07-19,Class B
POINT (-95.12872 32.24271),black,1.0,1972-07-15,Class A
POINT (-95.12381000000001 30.43703),black,1.0,1990-05-18,Class A
POINT (-93.87194 31.56),black,1.0,2004-02-03,Class B
POINT (-94.89986 31.87791),black,1.0,1980-09-15,Class C
POINT (-94.63458 31.91708),black,1.0,1998-01-11,Class A
POINT (-94.965 32.27444000000001),black,1.0,2003-10-08,Class A
POINT (-94.90528 32.35306),black,1.0,2003-12-12,Class A
POINT (-94.86833 32.28944),black,1.0,2003-12-30,Class B
POINT (-94.7375 32.33528),black,1.0,2003-12-30,Class A
POINT (-94.68333 32.01667),black,1.0,2004-11-26,Class A
POINT (-94.95061 31.86794),black,1.0,2017-11-15,Class A
POINT (-95.3 30.63333),black,1.0,2004-01-08,Class A
POINT (-95.09166999999999 30.475),black,1.0,2004-09-12,Class A
POINT (-95.12305000000001 30.55),black,1.0,2004-11-24,Class B
POINT (-95.13 30.46),black,1.0,2005-06-27,Class B
POINT (-95.17966 30.31363),black,1.0,2007-11-15,Class A
POINT (-95.31999999999999 32.13972),black,1.0,2003-10-22,Class A
POINT (-95.21666999999999 32.18333),black,1.0,2004-10-03,Class A
POINT (-95.41817 32.51556),black,1.0,2004-10-03,Class B
POINT (-95.35257 32.19202),black,1.0,2011-04-03,Class A
POINT (-97.02500000000001 32.675),black,1.0,2016-04-02,Class B
POINT (-100.4219 31.44815),black,1.0,2006-08-01,Class B
POINT (-94.47902999999999 31.0232),black,1.0,2005-06-15,Class A
POINT (-95.48672000000001 32.31565),black,1.0,2015-10-30,Class A
POINT (-95.52722 30.61667000000001),black,1.0,1975-07-04,Class A
POINT (-95.37666 30.75),black,1.0,1996-12-31,Class A
POINT (-95.58334000000001 30.52361),black,1.0,2001-09-11,Class A
POINT (-95.63 30.6),black,1.0,2005-01-28,Class A
POINT (-96.29222 29.17805),black,1.0,2004-09-12,Class A
POINT (-100.6767 35.93985),black,1.0,2014-07-14,Class A
POINT (-95.16028 33.64555),black,1.0,1982-04-15,Class A
POINT (-101.667 34.93243),black,1.0,2006-10-21,Class A
POINT (-94.89778 30.73861),black,1.0,1964-04-15,Class A
POINT (-102.6922 31.27278),black,1.0,2000-02-15,Class A
POINT (-97.75 32.75),black,1.0,1976-11-30,Class B
POINT (-94.20695000000001 32.1),black,1.0,1992-11-25,Class B
POINT (-98.32980000000001 32.8269),black,1.0,1969-07-20,Class A
POINT (-93.8117 30.12615),black,1.0,2007-08-13,Class A
POINT (-93.7 30.8),black,1.0,1981-11-25,Class A
POINT (-94.33334000000001 31.33333),black,1.0,2003-10-15,Class B
POINT (-98.53998 31.4771),black,1.0,2007-11-17,Class B
POINT (-96.04472 28.8),black,1.0,2004-06-30,Class B
POINT (-101.5361 33.45278),black,1.0,2001-01-06,Class B
POINT (-96.01666 28.97944),black,1.0,2005-01-17,Class A
POINT (-95.5 29),black,1.0,2005-02-01,Class B
POINT (-95.60834 30.23333),black,1.0,1983-07-15,Class A
POINT (-95.31999999999999 30.31667),black,1.0,2002-04-17,Class A
POINT (-95.71278 30.52694),black,1.0,2004-10-29,Class B
POINT (-95.36166 30.405),black,1.0,2004-11-26,Class B
POINT (-95.28653 30.3343),black,1.0,2005-05-02,Class A
POINT (-95.47556 30.14378),black,1.0,2005-10-18,Class B
POINT (-95.77907999999999 30.54366),black,1.0,2006-04-01,Class B
POINT (-95.72607000000001 30.52897),black,1.0,2016-01-04,Class B
POINT (-94.72333999999999 33.03333),black,1.0,2004-11-27,Class A
POINT (-93.68333 30.76667),black,1.0,2004-09-06,Class B
POINT (-93.61667 30.72028),black,1.0,2004-09-26,Class A
POINT (-98.38333 32.83333),black,1.0,2004-10-31,Class B
POINT (-98.34489000000001 32.817),black,1.0,2008-01-10,Class B
POINT (-94.37444000000001 32.04361),black,1.0,2003-12-28,Class A
POINT (-94.2 32.05806),black,1.0,2004-04-11,Class A
POINT (-94.14306000000001 32.01083),black,1.0,2005-01-18,Class A
POINT (-98.03333000000001 32.7),black,1.0,2003-10-17,Class A
POINT (-97.83334000000001 32.78611),black,1.0,2004-11-20,Class A
POINT (-98 32.755),black,1.0,2010-10-15,Class B
POINT (-97.61 32.675),black,1.0,2011-06-30,Class A
POINT (-97.61 32.675),black,1.0,2011-08-27,Class A
POINT (-102.3881 31.06278),black,1.0,2005-02-01,Class A
POINT (-94.70139 30.71139),black,1.0,2005-04-18,Class A
POINT (-94.58 30.71139),black,1.0,2005-04-26,Class B
POINT (-94.66652999999999 30.66986),black,1.0,2005-05-08,Class B
POINT (-95.06667 33.67055999999999),black,1.0,1987-11-15,Class A
POINT (-95.27361000000001 33.66666),black,1.0,2002-11-02,Class A
POINT (-95.19722 33.845),black,1.0,2003-11-16,Class A
POINT (-95.70860999999999 31.40444),black,1.0,1930-09-30,Class B
POINT (-97.28360000000001 30.40335),black,1.0,2014-12-08,Class A
POINT (-98.05500000000001 31.11611),black,1.0,1977-08-15,Class A
POINT (-100.4104 29.24665),black,1.0,1994-08-13,Class B
POINT (-97.52499 32.15),black,1.0,1986-11-01,Class B
POINT (-103.7439 30.77722),black,1.0,2003-10-08,Class A
POINT (-93.94 30.41667),black,1.0,1983-12-24,Class A
POINT (-98.34999999999999 33.13333),black,1.0,2003-10-21,Class A
POINT (-96.10222 32.94722),black,1.0,2003-12-24,Class A
POINT (-101.3903 32.24083),black,1.0,2004-10-03,Class A
POINT (-95.48833 31.35833),black,1.0,1980-06-30,Class A
POINT (-95.54277999999999 33.33),black,1.0,2004-01-09,Class B
POINT (-95.58334000000001 30.95972),black,1.0,2004-01-09,Class B
POINT (-95.20690999999999 31.50773),black,1.0,2006-08-27,Class B
POINT (-95.59744999999999 31.1683),black,1.0,2007-12-20,Class A
